MODELYEAR,MODELNAME,TRIM,MODELCODE,MRM,24,27,30,33,36,39,42,45,48,51,54,57,60,ANNUALMILEAGE,EFFECTIVEDATE,EXPIRYDATE
2022,CX-9,CX-9 Sport XA,CX9SPXA,42340,0.69,0.64,0.63,0.59,0.56,0.51,0.50,0.46,0.43,0.39,0.38,0.35,0.33,15000,10/4/2022,10/31/2022
2022,CX-9,CX-9 Touring XA,CX9TRXA,44920,0.67,0.63,0.62,0.58,0.55,0.51,0.49,0.46,0.43,0.39,0.38,0.35,0.33,15000,10/4/2022,10/31/2022
2022,CX-9,CX-9 Touring Plus XA,CX9TPXA,49995,0.69,0.62,0.63,0.59,0.57,0.52,0.51,0.45,0.44,0.38,0.38,0.35,0.33,15000,10/4/2022,10/31/2022
2022,CX-9,CX-9 Carbon Edition XA,CX9CEXA,52300,0.68,0.62,0.63,0.59,0.57,0.52,0.51,0.45,0.45,0.39,0.38,0.35,0.33,15000,10/4/2022,10/31/2022
2022,CX-9,CX-9 Grand Touring XA,CX9GTXA,53330,0.67,0.60,0.62,0.58,0.56,0.51,0.50,0.44,0.44,0.38,0.37,0.34,0.32,15000,10/4/2022,10/31/2022
2022,CX-9,CX-9 Signature XA,CX9SGXA,56655,0.67,0.60,0.62,0.59,0.56,0.52,0.51,0.45,0.45,0.39,0.38,0.35,0.33,15000,10/4/2022,10/31/2022
2022,CX-5,CX-5 2.5S XA,CX525SXA,31080,0.73,0.69,0.68,0.65,0.63,0.58,0.57,0.52,0.49,0.45,0.45,0.41,0.39,15000,10/4/2022,10/31/2022
2022,CX-5,CX-5 Select XA,CX5SEXA,33480,0.70,0.66,0.65,0.62,0.60,0.55,0.54,0.49,0.47,0.42,0.42,0.39,0.37,15000,10/4/2022,10/31/2022
2022,CX-5,CX-5 Preferred XA,CX5PFXA,34995,0.71,0.67,0.66,0.63,0.61,0.56,0.54,0.50,0.47,0.43,0.43,0.39,0.37,15000,10/4/2022,10/31/2022
2022,CX-5,CX-5 Carbon Edition XA,CX5CEXA,36340,0.71,0.67,0.66,0.63,0.61,0.56,0.55,0.51,0.48,0.44,0.43,0.40,0.38,15000,10/4/2022,10/31/2022
2022,CX-5,CX-5 Premium XA,CX5PRXA,38775,0.67,0.63,0.63,0.60,0.58,0.53,0.52,0.48,0.45,0.41,0.41,0.38,0.36,15000,10/4/2022,10/31/2022
2022,CX-5,CX-5 Premium Plus XA,CX5PPXA,40740,0.67,0.63,0.62,0.59,0.57,0.53,0.52,0.48,0.45,0.42,0.41,0.38,0.36,15000,10/4/2022,10/31/2022
2022,CX-5,CX-5 Turbo XA,CX525TXA,43680,0.65,0.61,0.61,0.58,0.56,0.51,0.50,0.46,0.44,0.40,0.39,0.37,0.35,15000,10/4/2022,10/31/2022
2022,CX-5,CX-5 Turbo Signature XA,CX5SGTXA,46380,0.66,0.62,0.61,0.58,0.56,0.52,0.51,0.47,0.45,0.41,0.40,0.37,0.35,15000,10/4/2022,10/31/2022
2022,CX-30,CX-30 Base XA,C3025SXA,26640,0.76,0.71,0.70,0.66,0.64,0.58,0.56,0.52,0.49,0.44,0.44,0.41,0.39,15000,10/4/2022,10/31/2022
2022,CX-30,CX-30 Select XA,C30SEXA,29520,0.75,0.70,0.69,0.66,0.63,0.58,0.56,0.52,0.49,0.45,0.44,0.41,0.39,15000,10/4/2022,10/31/2022
2022,CX-30,CX-30 Preferred XA,C30PFXA,33180,0.70,0.65,0.64,0.61,0.59,0.54,0.52,0.48,0.45,0.42,0.41,0.38,0.36,15000,10/4/2022,10/31/2022
2022,CX-30,CX-30 Carbon Edition XA,C30CEXA,33950,0.72,0.67,0.66,0.63,0.60,0.56,0.54,0.50,0.47,0.43,0.43,0.40,0.38,15000,10/4/2022,10/31/2022
2022,CX-30,CX-30 Premium XA,C30PRXA,36600,0.69,0.65,0.63,0.60,0.58,0.53,0.52,0.48,0.45,0.42,0.41,0.38,0.36,15000,10/4/2022,10/31/2022
2022,CX-30,CX-30 Turbo XA,C3025TXA,36240,0.71,0.67,0.66,0.63,0.60,0.55,0.54,0.50,0.47,0.43,0.43,0.40,0.38,15000,10/4/2022,10/31/2022
2022,CX-30,CX-30 Turbo Premium XA,C30PRTXA,39360,0.70,0.66,0.65,0.61,0.59,0.54,0.53,0.49,0.46,0.42,0.42,0.39,0.37,15000,10/4/2022,10/31/2022
2022,CX-30,CX-30 Turbo Premium Plus XA,C30PPTXA,41280,0.69,0.65,0.64,0.61,0.58,0.54,0.52,0.48,0.45,0.42,0.41,0.38,0.36,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 Sedan 2.0 2A,M3S202A,24960,0.62,0.58,0.59,0.57,0.53,0.48,0.50,0.48,0.44,0.40,0.42,0.40,0.37,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 Sedan 2.5S 2A,M3S25S2A,26100,0.60,0.55,0.57,0.54,0.51,0.46,0.48,0.45,0.42,0.38,0.40,0.38,0.35,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 Sedan Select 2A,M3SSE2A,27720,0.62,0.57,0.58,0.56,0.52,0.48,0.49,0.47,0.43,0.39,0.41,0.39,0.36,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 Sedan Preferred 2A,M3SPF2A,29700,0.61,0.57,0.58,0.56,0.52,0.48,0.49,0.47,0.43,0.39,0.41,0.39,0.36,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 Sedan Preferred XA,M3SPFXA,31380,0.61,0.57,0.58,0.56,0.52,0.48,0.49,0.47,0.43,0.40,0.41,0.39,0.36,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 Sedan Carbon Edition 2A,M3SCE2A,31680,0.61,0.56,0.57,0.55,0.52,0.47,0.48,0.46,0.43,0.39,0.40,0.39,0.36,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 Sedan Premium 2A,M3SPR2A,32820,0.60,0.56,0.57,0.54,0.51,0.47,0.48,0.46,0.42,0.39,0.40,0.38,0.35,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 Sedan Premium XA,M3SPRXA,34500,0.60,0.56,0.57,0.55,0.51,0.47,0.48,0.46,0.43,0.39,0.40,0.39,0.36,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 Sedan Turbo XA,M3S25TXA,36660,0.62,0.58,0.58,0.56,0.53,0.49,0.49,0.47,0.44,0.40,0.41,0.39,0.37,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 Sedan Turbo Premium XA,M3SPPTXA,39720,0.59,0.56,0.56,0.54,0.51,0.47,0.48,0.45,0.42,0.39,0.40,0.38,0.35,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 5-door 2.5S 2A AT,M3H25S2A,27300,0.61,0.56,0.57,0.55,0.51,0.47,0.48,0.46,0.42,0.38,0.40,0.38,0.35,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 5-door Select 2A AT,M3HSE2A,28920,0.62,0.58,0.59,0.57,0.53,0.49,0.50,0.48,0.44,0.40,0.42,0.40,0.37,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 5-door Preferred 2A AT,M3HPF2A,30900,0.62,0.58,0.59,0.56,0.53,0.49,0.49,0.47,0.44,0.40,0.41,0.39,0.36,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 5-door Preferred XA AT,M3HPFXA,32580,0.61,0.57,0.58,0.56,0.52,0.48,0.49,0.47,0.43,0.40,0.41,0.39,0.36,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 5-door Carbon Edition 2A,M3HCE2A,32880,0.61,0.57,0.58,0.55,0.52,0.48,0.49,0.46,0.43,0.39,0.41,0.39,0.36,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 5-door Premium 2A AT,M3HPR2A,34020,0.60,0.57,0.57,0.55,0.52,0.48,0.48,0.46,0.43,0.39,0.40,0.39,0.36,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 5-door Premium 2A MT,M3HPR2P,34020,0.57,0.53,0.54,0.52,0.49,0.45,0.46,0.44,0.40,0.37,0.38,0.37,0.34,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 5-door Premium XA AT,M3HPRXA,35700,0.61,0.57,0.58,0.56,0.52,0.49,0.49,0.47,0.44,0.40,0.41,0.39,0.36,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 5-door Turbo XA AT,M3H25TXA,37860,0.61,0.57,0.58,0.56,0.53,0.49,0.49,0.47,0.43,0.40,0.41,0.39,0.36,15000,10/4/2022,10/31/2022
2022,MAZDA3,Mazda3 5-door Turbo Premium XA AT,M3HPPTXA,41280,0.59,0.56,0.56,0.54,0.51,0.48,0.48,0.46,0.42,0.39,0.40,0.38,0.35,15000,10/4/2022,10/31/2022
2022,MX-5 MIATA,MX-5 2dr Conv Sport MT,MX5SP6P,32760,0.67,0.61,0.62,0.59,0.54,0.50,0.51,0.49,0.45,0.42,0.46,0.45,0.43,15000,10/4/2022,10/31/2022
2022,MX-5 MIATA,MX-5 2dr Conv Club MT,MX5CL6P,36960,0.60,0.56,0.56,0.54,0.50,0.46,0.47,0.46,0.43,0.40,0.42,0.42,0.40,15000,10/4/2022,10/31/2022
2022,MX-5 MIATA,MX-5 2dr Conv Grand Touring MT,MX5GT6P,38760,0.65,0.60,0.60,0.57,0.53,0.49,0.50,0.48,0.45,0.42,0.44,0.44,0.42,15000,10/4/2022,10/31/2022
2022,MX-5 MIATA,MX-5 2dr Conv Grand Touring AT,MX5GTA,39360,0.62,0.57,0.58,0.55,0.51,0.47,0.48,0.46,0.43,0.40,0.43,0.42,0.40,15000,10/4/2022,10/31/2022
2022,MX-5 MIATA,MX-5 2dr Conv RF Club MT,MXRCL6P,45840,0.59,0.55,0.55,0.52,0.49,0.45,0.46,0.44,0.41,0.38,0.40,0.40,0.38,15000,10/4/2022,10/31/2022
2022,MX-5 MIATA,MX-5 2dr Conv RF Grand Touring MT,MXRGT6P,42000,0.66,0.61,0.61,0.59,0.55,0.51,0.51,0.49,0.46,0.43,0.45,0.44,0.42,15000,10/4/2022,10/31/2022
2022,MX-5 MIATA,MX-5 2dr Conv RF Grand Touring AT,MXRGTA,42000,0.63,0.59,0.59,0.56,0.52,0.49,0.49,0.47,0.44,0.41,0.44,0.43,0.41,15000,10/4/2022,10/31/2022
2022,MX-30 EV,MX-30 EV (CALIFORNIA ONLY),M30E2A,40165,0.56,0.51,0.51,0.48,0.43,0.39,0.40,0.37,0.34,0.30,0.31,0.30,0.27,15000,10/4/2022,10/31/2022
2022,MX-30 EV,MX-30 EV Premium Plus (CALIFORNIA ONLY),M30PPE2A,43780,0.54,0.49,0.49,0.46,0.42,0.38,0.38,0.36,0.32,0.29,0.30,0.28,0.26,15000,10/4/2022,10/31/2022
2023,CX-50,CX-50 4dr Wgn,C5025SXA,33060,0.74,0.70,0.69,0.66,0.64,0.58,0.57,0.53,0.50,0.45,0.45,0.41,0.39,15000,10/4/2022,10/31/2022
2023,CX-50,CX-50 4dr Wgn Select,C50SEXA,34740,0.74,0.69,0.69,0.65,0.63,0.58,0.57,0.53,0.50,0.45,0.45,0.41,0.39,15000,10/4/2022,10/31/2022
2023,CX-50,CX-50 4dr Wgn Preferred,C50PFXA,36300,0.73,0.68,0.68,0.64,0.62,0.57,0.56,0.52,0.49,0.44,0.44,0.40,0.38,15000,10/4/2022,10/31/2022
2023,CX-50,CX-50 4dr Wgn Preferred Plus,C50PFPXA,39230,0.69,0.65,0.64,0.61,0.59,0.54,0.53,0.49,0.46,0.42,0.42,0.38,0.36,15000,10/4/2022,10/31/2022
2023,CX-50,CX-50 4dr Wgn Premium,C50PRXA,42180,0.68,0.64,0.63,0.60,0.58,0.53,0.52,0.48,0.46,0.41,0.41,0.38,0.36,15000,10/4/2022,10/31/2022
2023,CX-50,CX-50 4dr Wgn Premium Plus,C50PPXA,44580,0.66,0.63,0.62,0.59,0.57,0.52,0.51,0.47,0.45,0.41,0.40,0.37,0.35,15000,10/4/2022,10/31/2022
2023,CX-50,CX-50 4dr Wgn Turbo,C5025TXA,44580,0.70,0.66,0.65,0.62,0.59,0.55,0.53,0.50,0.47,0.43,0.42,0.39,0.37,15000,10/4/2022,10/31/2022
2023,CX-50,CX-50 4dr Wgn Turbo Meridian Edition,C50MRTXA,47940,0.65,0.61,0.60,0.57,0.55,0.51,0.49,0.46,0.44,0.40,0.39,0.36,0.34,15000,10/4/2022,10/31/2022
2023,CX-50,CX-50 4dr Wgn Turbo Premium,C50PRTXA,48360,0.67,0.63,0.62,0.59,0.57,0.53,0.51,0.47,0.45,0.41,0.40,0.37,0.35,15000,10/4/2022,10/31/2022
2023,CX-50,CX-50 4dr Wgn Turbo Premium Plus,C50PPTXA,50760,0.66,0.62,0.62,0.59,0.56,0.52,0.51,0.47,0.44,0.41,0.40,0.37,0.35,15000,10/4/2022,10/31/2022
2023,CX-5,CX-5 2.5S XA,CX525SXA,32040,0.72,0.68,0.67,0.64,0.62,0.56,0.55,0.50,0.47,0.43,0.42,0.39,0.37,15000,10/4/2022,10/31/2022
2023,CX-5,CX-5 Select XA,CX5SEXA,34200,0.72,0.68,0.67,0.64,0.62,0.56,0.55,0.51,0.48,0.43,0.43,0.39,0.37,15000,10/4/2022,10/31/2022
2023,CX-5,CX-5 Preferred XA,CX5PFXA,35700,0.75,0.70,0.70,0.66,0.64,0.59,0.57,0.53,0.50,0.46,0.45,0.42,0.40,15000,10/4/2022,10/31/2022
2023,CX-5,CX-5 Carbon Edition XA,CX5CEXA,37320,0.73,0.69,0.68,0.65,0.63,0.58,0.56,0.52,0.49,0.45,0.44,0.41,0.39,15000,10/4/2022,10/31/2022
2023,CX-5,CX-5 Premium XA,CX5PRXA,39600,0.68,0.64,0.64,0.61,0.59,0.54,0.53,0.49,0.46,0.42,0.41,0.38,0.36,15000,10/4/2022,10/31/2022
2023,CX-5,CX-5 Premium Plus XA,CX5PPXA,42600,0.67,0.63,0.62,0.59,0.57,0.53,0.51,0.48,0.45,0.41,0.40,0.37,0.35,15000,10/4/2022,10/31/2022
2023,CX-5,CX-5 Turbo XA,CX525TXA,44220,0.67,0.64,0.63,0.60,0.58,0.53,0.52,0.48,0.45,0.42,0.41,0.38,0.36,15000,10/4/2022,10/31/2022
2023,CX-5,CX-5 Turbo Signature XA,CX5SGTXA,47580,0.67,0.63,0.62,0.60,0.57,0.53,0.52,0.48,0.45,0.42,0.41,0.38,0.36,15000,10/4/2022,10/31/2022
2023,CX-9,CX-9 Touring XA,CX9TRXA,46500,0.72,0.67,0.66,0.62,0.59,0.54,0.53,0.49,0.46,0.42,0.41,0.38,0.35,15000,10/4/2022,10/31/2022
2023,CX-9,CX-9 Touring Plus XA,CX9TPXA,49800,0.70,0.66,0.64,0.61,0.58,0.53,0.52,0.48,0.46,0.41,0.41,0.38,0.35,15000,10/4/2022,10/31/2022
2023,CX-9,CX-9 Carbon Edition XA,CX9CEXA,53800,0.68,0.63,0.62,0.58,0.56,0.51,0.50,0.46,0.43,0.39,0.38,0.35,0.33,15000,10/4/2022,10/31/2022
2023,CX-9,CX-9 Grand Touring XA,CX9GTXA,54830,0.67,0.63,0.61,0.58,0.55,0.51,0.49,0.46,0.43,0.39,0.38,0.35,0.33,15000,10/4/2022,10/31/2022
2023,CX-9,CX-9 Signature XA,CX9SGXA,58155,0.67,0.62,0.61,0.58,0.55,0.51,0.50,0.46,0.44,0.40,0.39,0.36,0.34,15000,10/4/2022,10/31/2022
2023,MAZDA3,Mazda3 Sedan 2.5S 2A,M3S25S2A,27060,0.60,0.56,0.57,0.55,0.51,0.46,0.48,0.45,0.41,0.37,0.39,0.37,0.34,15000,10/4/2022,10/31/2022
2023,MAZDA3,Mazda3 Sedan Select 2A,M3SSE2A,28740,0.63,0.59,0.60,0.57,0.53,0.49,0.50,0.47,0.44,0.39,0.41,0.39,0.36,15000,10/4/2022,10/31/2022
2023,MAZDA3,Mazda3 Sedan Preferred 2A,M3SPF2A,30660,0.63,0.58,0.59,0.57,0.53,0.49,0.49,0.47,0.43,0.40,0.41,0.39,0.36,15000,10/4/2022,10/31/2022
2023,MAZDA3,Mazda3 Sedan Carbon Edition 2A,M3SCE2A,32640,0.61,0.57,0.58,0.55,0.52,0.48,0.48,0.46,0.42,0.39,0.40,0.38,0.35,15000,10/4/2022,10/31/2022
2023,MAZDA3,Mazda3 4dr Sdn 2.5L Carbon Edition XA AT,M3SCEXA,34320,0.62,0.57,0.58,0.56,0.52,0.48,0.49,0.46,0.43,0.39,0.40,0.38,0.35,15000,10/4/2022,10/31/2022
2023,MAZDA3,Mazda3 Sedan Premium XA,M3SPRXA,35280,0.62,0.58,0.59,0.57,0.53,0.49,0.50,0.47,0.44,0.40,0.41,0.40,0.37,15000,10/4/2022,10/31/2022
2023,MAZDA3,Mazda3 Sedan Turbo Premium XA,M3SPPTXA,40800,0.60,0.57,0.57,0.55,0.52,0.48,0.48,0.46,0.42,0.39,0.40,0.38,0.35,15000,10/4/2022,10/31/2022
2023,MAZDA3,Mazda3 5-door 2.5S 2A AT,M3H25S2A,28260,0.62,0.57,0.58,0.56,0.52,0.47,0.48,0.46,0.42,0.38,0.40,0.38,0.35,15000,10/4/2022,10/31/2022
2023,MAZDA3,Mazda3 5-door Select 2A AT,M3HSE2A,29940,0.64,0.59,0.60,0.58,0.54,0.49,0.50,0.48,0.44,0.40,0.42,0.40,0.36,15000,10/4/2022,10/31/2022
2023,MAZDA3,Mazda3 5-door Preferred 2A AT,M3HPF2A,31860,0.62,0.58,0.59,0.56,0.53,0.48,0.49,0.47,0.43,0.39,0.40,0.38,0.35,15000,10/4/2022,10/31/2022
2023,MAZDA3,Mazda3 5-door Carbon Edition 2A,M3HCE2A,33840,0.62,0.58,0.58,0.56,0.53,0.48,0.49,0.47,0.43,0.39,0.40,0.39,0.36,15000,10/4/2022,10/31/2022
